sentence,Type of violence,Type of aggressive communication,Description
"Non posso uscire da solo con i miei amici, deve esserci sempre lei.","Stalking, monitoraggio e controllo","Attacchi, Minaccia",Questa frase è un esempio di controllo comportamentale in quanto viene imposto un comportamento il quale attacca la libertà personale
Non mi fa dormire con mio fratello.,"Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo comportamentale in quanto viene imposto un comportamento il quale attacca la libertà personale
Lei conserva i soldi che guadagniamo entrambi e io non posso vederli.,"Stalking, monitoraggio e controllo,",Attacchi,Questa frase è un esempio di controllo in quanto si allude al controllo delle finanze altrui minando la libertà personale
è gelosa delle ragazze che mi guardano.,"Stalking, monitoraggio e controllo",Attacchi,"Questa frase è un esempio di controllo in quanto implica che la persona si preclude il diritto di decidere con chi può interagire e come può comportarsi, limitando la libertà personale"
Non vuole che io sia online se non sto parlando con lei.,"Cyber Stalking, monitoraggio e controllo",Attacchi,"Questa frase è un esempio di controllo cyber in quanto implica che la persona si preclude il diritto di decidere con chi può interagire e come può comportarsi, limitando la libertà personale"
Non mi fa andare dal ginecologo.,"Stalking, monitoraggio e controllo",Nessuna,Cercare di impedire a una persona di recarsi dal ginecologo rappresenta un tentativo di controllo e di limitare la sua autonomia su questioni relative alla propria salute e al proprio corpo
Non posso postare niente su Instagram.,"Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di cyber controllo in quanto mira alla libertà di espressione sui social media
Ha la chiave del mio armadio.,"Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di controllo in quanto  mira alla privazione dell’autonomia violando la privacy
Mi blocca le ragazze su Instagram e posso seguire solo ragazzi.,"Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è una forma di cyber controllo in quanto mira a limitare l’utilizzo dei social media imponendo l’utilizzo
"La sua ragazza prima di dormire guarda dove ha lasciato l'auto il suo ragazzo e quando si sveglia, va a vedere se è ancora nello stesso posto.","Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di monitoraggio in quanto tiene traccia del comportamento del partner
Lui tiene traccia di tutto ciò che lei compra.,"Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di monitoraggio in quanto tiene traccia del comportamento del partner
Una ragazza ha installato un'app per cercare di sapere dove si trova il suo ragazzo per controllare la sua posizione in tempo reale.,"Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di monitoraggio cyber in quanto tiene traccia del comportamento del partner
Ci accusiamo reciprocamente.,Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto c’è un attacco esplicito tra i partner
A volte non riesco a evitare di insultarlo quando discutiamo.,Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto c’è un attacco esplicito al partner
"Più volte al giorno controlliamo i nostri telefoni, verificando chat, cronologia di Internet...","Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di monitoraggio cyber in quanto tiene traccia del comportamento tra partner
"Se arriva una ragazza a consegnare la pizza, la mia ragazza corre sempre lei ad aprire la porta.","Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di controllo in quanto in quanto tende all’isolamento della persona
Un'amica ha creato un account falso su Instagram e ha seguito il suo ragazzo per vedere se ci provava con altre ragazze.,"Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di monitoraggio cyber in quanto tiene traccia del comportamento del partner
"Per me, se è geloso è perché mi ama.",Violenza/Aggressività psicologica,Nessuna,Questa frase mira a giustificare un comportamento tossico attraverso un sentimento
"Gli dò sempre ragione, così smette di parlare.",Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto limita la libertà di espressione
"Mi picchia, ma poi mi chiede scusa, si pente e piange.",Violenza fisica,Attacchi,Questa frase riferisce una forma di violenza fisica volta ad un controllo e manipolazione del partner
Si prende gioco di me davanti ai miei amici.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare il partner
Una ragazza pubblica una sua foto in biancheria intima e nei commenti dicono che è sbagliato e dovrebbe coprirsi di più.,"Cyber Violenza/Aggressività psicologica, Cyber Stalking, monitoraggio e controllo","Ridicolizzazione/derisione, Attacchi",Questa frase è un esempio di cyber violenza e di cyber monitoraggio rivolto al comportamento della persona sui social ridicolizzando le sue scelte ed attaccando la sua libertà di espressione
"Un'amica camminava tranquilla per strada, è passata accanto a un gruppo di ragazzi che hanno iniziato a fischiare e dire volgarità.",Violenza/Aggressività psicologica,"Parolacce, Ridicolizzazione/derisione",Questa frase è un esempio di violenza psicologica in quanto descrive un comportamento che include parolacce e derisione che tende a minare il senso di sicurezza ed autostima della persona
La fidanzata di un amico lo ha chiamato più di 5 volte solo perché voleva che le mandasse una foto di dove si trovava e con chi.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner
"Un ragazzo posta un video in cui critica le ragazze che hanno un fidanzato perché non possono parlare con gli amici, assumendo che questo sia mancanza di rispetto e comportarsi da poco di buono.",Cyber Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di cyber violenza psicologica in quanto critica pubblicamente un comportamento  e promuove uno stereotipo giudicante
Il post di una ragazza è stato segnalato e cancellato solo perché ha scritto una frase rivolta agli uomini sessisti.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber controllo in quanto si tende a censurare una opinione
Una coppia di amici ha iniziato a insultarsi solo perché il ragazzo di lei ha guardato un'altra ragazza.,Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto si allude ad una gelosia possessiva attraverso l’aggressività verbale
La mia amica mi ha parlato male del suo ragazzo insultandolo solo perché voleva uscire con i suoi amici.,"Violenza/Aggressività psicologica, Stalking, monitoraggio e controllo",Ridicolizzazione/derisione,"Questa frase rappresenta una forma di violenza psicologica e controllo, in quanto mira a controllare il comportamento del partner attraverso la ridicolizzazione"
"Quando qualcosa mi infastidisce, me lo tengo per me e lascio che gli altri pensino che va tutto bene.",Violenza/Aggressività psicologica,Nessuna,Questa frase è un esempio di violenza psicologica autoinferta
Non le piace che parlo con altre amiche.,"Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di controllo in quanto tende all’isolamento della persona
Dice di mentirmi perché mi arrabbio sempre.,Violenza/Aggressività psicologica,Nessuna,Questa frase è un esempio di violenza psicologica in quanto giustifica un comportamento aggressivo attraverso la menzogna
La mia amica non può postare video su TikTok perché il suo ragazzo non glielo permette.,"Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di cyber controllo in quanto il divieto imposto mira alla libertà di espressione sui social media
Il ragazzo della mia amica le ha detto che non è nessuno senza di lui.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto ridicolizza la persona minandone l’autostima e facendola sentire insignificante in assenza del partner
Mi guarda male per come mi vesto.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto ridicolizza la persona basandosi sulle scelte vestiarie
"Mi hai fatto molto male, non lo meritavo.",Violenza fisica,Attacchi,Questa frase fa riferimento ad una violenza fisica perpetuata
Dovresti vergognarti per quello che hai fatto.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto umilia la persona per le sue azioni passate
"Hai ragione, non valgo niente, sono il peggiore!",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,"Questa frase è un esempio di violenza psicologica in quanto è una conferma di una affermazione volta a deridere la persona, minandone l’autostima"
È colpa tua se ti ho insultato.,Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto incolpa la vittima dell’abuso subito
"Un ragazzo dice alla sua compagna che gli piacerebbe che gli comprasse un profumo. Quando la sua compagna glielo compra, il ragazzo le dice che non lo vuole più perché non è stato un regalo spontaneo.",Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto riporta un comportamento volto a confondere e sminuire gli sforzi dell’altra persona
"Ora non mi servi, avresti dovuto esserci stato quando te l'ho detto.",Violenza/Aggressività psicologica,"Ridicolizzazione/derisione, Attacchi",Questa frase è un esempio di violenza psicologica in quanto svaluta l’altra persona facendo si che si senta inutile e colpevole per non aver soddisfatto una richiesta fatta in passato
Così nessuno ti vorrà.,Violenza/Aggressività psicologica,Maledizione,Questa frase è un esempio di violenza psicologica in quanto sminuisce la persona augurandole l’isolamento sociale
Con questo atteggiamento e questa personalità non sarai nessuno.,Violenza/Aggressività psicologica,Maledizione,Questa frase è un esempio di violenza psicologica in quanto sminuisce la persona augurandole l’isolamento sociale
"Va tutto male, non so fare niente.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica nei propri confronti attraverso l’auto ridicolizzazione
"Se non torni con me, farò qualcosa di folle di cui tu sarai responsabile.","Violenza/Aggressività psicologica, Stalking, monitoraggio e controllo",Minaccia,Questa frase è un esempio di violenza psicologica e di controllo in quanto intimidisce la persona facendo leva sulla sua paura di una azione futura
"Non mi fiderò più di nessuno, sono tutti traditori.",Violenza/Aggressività psicologica,Nessuna,Questa frase è un esempio di violenza psicologica in quanto fa una generalizzazione che riflette una sfiducia verso gli altri
"Sono molto imbranato, non sono adatto a queste cose.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica nei propri confronti attraverso l’auto ridicolizzazione
"Mi succedono sempre cose brutte, non mi capita mai niente di buono.",Violenza/Aggressività psicologica,Nessuna,Questa frase è un esempio di violenza psicologica auto inferta in quanto riflette un senso di impotenza rispetto alle circostanze
"Se mi avessi ascoltato dall'inizio, non saremmo arrivati a questo.","Violenza/Aggressività psicologica, Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di violenza psicologica e di controllo in quanto utilizza il senso di colpa e la paura per controllare il comportamento della persona
Non le permette di fare ciò che vuole o di uscire con le sue amiche.,"Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di controllo in quanto in quanto tende all’isolamento della persona
Non permette alle sue fidanzate di usare i social media.,"Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di cyber controllo in quanto il divieto imposto mira all’isolamento ed alla libertà di espressione sui social media
Non le piace che lui vada a una festa con i suoi amici.,"Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di controllo in quanto in quanto tende all’isolamento della persona
Non mi piace che tu abbia così tanti amici su Instagram.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber controllo in quanto il divieto imposto mira all’isolamento sui social media
Con chi stai parlando che sei online e non sono io?,"Cyber Stalking, monitoraggio e controllo, Cyber Violenza/Aggressività psicologica",Attacchi,"Questa frase è un esempio di controllo cyber in quanto implica che la persona si preclude il diritto di decidere con chi può interagire e come può comportarsi, limitando la libertà personale"
Non mi piace che parli con le tue ex.,"Stalking, monitoraggio e controllo, Violenza/Aggressività psicologica",Attacchi,Questa frase è un esempio di controllo in quanto tende all’isolamento della persona imponendo un divieto
Il ragazzo della mia amica non le permette di indossare abiti corti o con scollature.,"Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di controllo in quanto impone un divieto sul come vestirsi
Una donna non è qualificata per fare certe cose.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare indirettamente i ruoli di genere
Non gli piace che segua ragazzi che non conosco e ancora di più che parli con loro.,"Cyber Stalking, monitoraggio e controllo",Nessuna,Questa frase è un esempio di cyber controllo in quanto il divieto imposto mira all’isolamento sui social media
Deve mettere l'ora dell'ultimo accesso per far vedere quando si connette e si disconnette.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner
Controlla le tue spese personali.,"Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo in quanto si allude al controllo delle finanze altrui minando la libertà personale
Fa di tutto per sminuire i tuoi successi.,Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto vengono sminuite le capacità altrui minandone l’autostima
"Quando litighiamo, devo sempre ammettere che è colpa mia.",Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto limita la libertà di espressione
Mi dice che piango per qualsiasi cosa.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare e sminuire la persona e le sue emozioni
"Se non faccio quello che vuole lei, si arrabbia.","Stalking, monitoraggio e controllo, Violenza/Aggressività psicologica",Minaccia,Questa frase è un esempio di violenza psicologica e di controllo in quanto utilizza il senso di colpa e la paura per controllare il comportamento della persona
"Mi dice che se non ho nulla da nascondere e c'è fiducia tra noi, dovrei dargli tutte le password.","Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner attraverso l’appropriazione delle password
Mi incolpa dei suoi fallimenti.,Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica in quanto riporta un comportamento volto a fa leva sul senso di colpa facendo sentire la persona responsabile dell’insuccesso
"Se la lascio, rimarrà sola.",Violenza/Aggressività psicologica,Maledizione,"Questa frase è un esempio di violenza psicologica in quanto l’ interlocutore utilizza una minaccia implicita, suggerendo che la persona rimarrebbe sola se si allontanasse."
Crea sempre drammi per ogni cosa.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto critica e ridicolizza il comportamento della persona
"""Mi dice """"chi ti vorrà con questa faccia?"""".""",Violenza/Aggressività psicologica,"Maledizione, Ridicolizzazione","Questa frase è una forma di violenza psicologica in quanto ridicolizza l’aspetto fisico della persona, sminuendola ed augurandole di rimanere sola"
Il mio amico esce con noi solo quando la sua ragazza non è in città e cancella sempre tutte le chat.,"Stalking, monitoraggio e controllo",Nessuna,Questa frase è una forma di monitoraggio in quanto suggerisce un possibile controllo esercitato dal partner sulle sue interazioni sociali
"Se si arrabbia con me, non mi risponde per una settimana.",Cyber Violenza/Aggressività psicologica,Attacchi,Questa frase rappresenta una forma di cyber violenza psicologica in quanto il silenzio viene utilizzato come punizione
Ha sempre bisogno di me.,Violenza/Aggressività psicologica,Attacchi,"Questa frase è un esempio di violenza psicologica in quanto l’ interlocutore utilizza una minaccia implicita, sminuendo l’autonomia della persona"
"È così che vanno le cose, non posso farci niente.",Violenza/Aggressività psicologica,Nessuna,Questa frase è un esempio di violenza psicologica auto inferta in quanto riflette un senso di impotenza rispetto alle circostanze
Guarda cosa mi fai fare.,Violenza fisica,Attacchi,Questa frase allude una giustificazione di una azione attribuendone la responsabilità alla vittima
"Se non facciamo sesso quando vuole lui, mi fa sentire in colpa e dice che non lo amo.",Violenza/Aggressività psicologica,Attacchi,Questa frase è una forma di violenza psicologica in quanto riporta un comportamento manipolatorio che fa leva su un senso di colpa
Chiede chi mi scrive su WhatsApp a quest'ora e perché.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber monitoraggio in quanto mira a tenere traccia del comportamento del partner
Non ti fidi di me?,Violenza/Aggressività psicologica,Attacchi,Questa frase rappresenta una forma di violenza psicologica in quanto la mancanza di fiducia viene utilizzata per colpevolizzare e minare l’autostima
"""Quando vuole fare qualcosa e io non voglio, dice: """"se mi amassi lo faresti.""""""","Violenza/Aggressività psicologica, Stalking, monitoraggio e controllo",Attacchi,Questa frase rappresenta una forma di violenza psicologica in quanto è volta ad imporre una azione non voluta mettendo in discussione i sentimenti
Mi ha mandato alcuni messaggi vocali minacciandomi di picchiarmi.,Cyber Violenza/Aggressività psicologica,Minaccia,Questa frase rappresenta una forma di cyber violenza psicologica in quanto minaccia una violenza fisica
"Quando non rispondo ai messaggi, mi chiama molte volte.","Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner
"Quando qualcosa mi infastidisce, non lo dico.",Violenza/Aggressività psicologica,Nessuna,Questa frase è un esempio di violenza psicologica autoinferta
"Quando stai parlando con me, non devi parlare con nessun altro.","Cyber Stalking, monitoraggio e controllo",Attacchi,"Questa frase è un esempio di controllo cyber in quanto implica che la persona si preclude il diritto di decidere con chi può interagire e come può comportarsi, limitando la libertà personale"
Con chi stai parlando così tanto? Ti vedo molto occupata.,"Cyber Stalking, monitoraggio e controllo",Attacchi,"Questa frase è un esempio di controllo cyber in quanto implica che la persona si preclude il diritto di decidere con chi può interagire e come può comportarsi, limitando la libertà personale"
"Se preferisci uscire con le tue amiche piuttosto che con me, dimmelo e non usciamo più.",Violenza/Aggressività psicologica,Minaccia,"Questa frase è un esempio di violenza psicologica in quanto riflette un tentativo di controllo sulla vita sociale di una persona, minacciandola"
"Non mi piace che esci con le tue amiche, ti stanno portando sulla cattiva strada.","Violenza/Aggressività psicologica, Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo in quanto tende all’isolamento della persona e critica le sue scelte sociali
Posti solo video per mettere in mostra il tuo corpo.,Cyber Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di Cyber violenza psicologica in quanto critica le scelte di pubblicazione personali
Smette di parlarmi da un giorno all'altro e non so nemmeno il motivo.,Violenza/Aggressività psicologica,Nessuna,Questa frase rappresenta una forma di cyber violenza psicologica in quanto il silenzio viene utilizzato come punizione
Mi parla solo quando vuole chiedermi qualcosa.,Violenza/Aggressività psicologica,Nessuna,Questa frase rappresenta una forma di violenza psicologica in quanto suggerisce un comportamento di manipolazione decidendo quando è accettabile o meno comunicare con l’altra persona
"Se il suo ragazzo si comporta così, è perché lei farà qualcosa di sbagliato.",Violenza/Aggressività psicologica,Minaccia,Questa frase mira a giustificare un comportamento tossico in risposta ad un possibile comportamento dell’altra persona
Vanno in giro vestite così per attirare l'attenzione.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di controllo attraverso una comunicazione aggressiva che mira ad attaccare la libertà personale criticando un modo di vestire
"Non truccarti, sei più bella al naturale.","Stalking, monitoraggio e controllo",Attacchi,Questa frase è una forma di violenza psicologica in quanto impone un divieto riguardante scelte sul proprio corpo
Perché segui i miei amici su Instagram? Ti piacciono più di me? Sai solo flirtare.,"Cyber Violenza/Aggressività psicologica, Cyber Stalking, monitoraggio e controllo",Ridicolizzazione/derisione,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner
Dico che non c'è nulla che non vada quando sono infastidita per qualcosa.,Violenza/Aggressività psicologica,Nessuna,Questa frase è un esempio di violenza psicologica autoinferta
Chi c'è? Ci sono ragazzi? Mandami una foto.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner
Devo chiamarti altre 50 volte prima che tu mi dia retta?,"Cyber Violenza/Aggressività psicologica, Cyber Stalking, monitoraggio e controllo",Minaccia,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner minacciandolo
"Sono un idiota, è normale che non vuoi stare con me, ma ti amo e lotterò per meritarti e tu devi aiutarmi.",Violenza/Aggressività psicologica,Attacchi,Questa frase è un esempio di violenza psicologica autoinferta sminuendosi ed imponendo la vicinanza dell’altra persona
"Lo faccio per te, perché ti amo.",Violenza/Aggressività psicologica,Attacchi,Questa frase è una forma di violenza psicologica in quanto giustifica un comportamento attraverso un sentimento
Se sono così geloso è perché ti amo e ci tengo a te.,Violenza/Aggressività psicologica,Attacchi,Questa frase è una forma di violenza psicologica in quanto giustifica un comportamento attraverso un sentimento
"Quanto sei esagerata, non è così grave.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è una forma di violenza psicologica in quanto critica e ridicolizza la reazione di una persona nei confronti di una situazione
"Dai, fallo per me.","Violenza/Aggressività psicologica, Stalking, monitoraggio e controllo",Attacchi,Questa frase è una forma di violenza psicologica in quanto costringe ad un comportamento involuto
"Se non vuoi farlo, non voglio stare con te.","Violenza/Aggressività psicologica, Stalking, monitoraggio e controllo",Minaccia,Questa frase è una forma di violenza psicologica in quanto mira all’imposizione di un comportamento tramite minaccia
Nessuno ti amerà come ti amo io,Violenza/Aggressività psicologica,Maledizione,Questa frase è una forma di violenza psicologica in quanto augura alla persona di non poter trovare qualcuno che equipara il sentimento
"Fai un test del DNA, non credo che il bambino sia mio.","Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo in quanto impone un comportamento accusandola implicitamente di infedeltà
"Non capisco perché lo fai, è sbagliato.",Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase allude ad una ridicolizzazione di un comportamento ritenendolo sbagliato
"Mi fido di te, ma non degli altri.","Stalking, monitoraggio e controllo",Attacchi,Questa frase può essere interpretata come forma di violenza psicologica se comporta una limitazione delle interazioni sociali
Piangi per qualsiasi cosa.,Violenza/Aggressività psicologica,Ridicolizzazione/derisione,Questa frase è un esempio di violenza psicologica in quanto mira a ridicolizzare e sminuire la persona e le sue emozioni
Non stavi andando a dormire? Cosa fai online?,"Cyber Stalking, monitoraggio e controllo",Attacchi,"Questa frase è un esempio di controllo cyber in quanto implica che la persona si preclude il diritto di decidere con chi può interagire e come può comportarsi, limitando la libertà personale"
Fammi vedere con chi parli così tanto.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di monitoraggio cyber limitando la libertà personale
Stavi guardando il culo a quella?,"Stalking, monitoraggio e controllo",Attacchi,Questa frase è una forma di controllo in quando tende a controllare una persona accusandola di una azione
Chi ti sta scrivendo a quest'ora?,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di monitoraggio cyber limitando la libertà personale
"Se non hai nulla da nascondere, dammi il telefono.","Cyber Stalking, monitoraggio e controllo",Minaccia,Questa frase è un esempio di cyber monitoraggio in quanto tiene traccia del comportamento del partner attraverso l’appropriazione del dispositivo tramite minaccia
Non mi lascia andare in palestra perché ci sono uomini.,"Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di controllo attraverso una restrizione di comportamento basata sul genere
Mi chiede il cellulare per vedere con chi parlo.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di monitoraggio cyber limitando la libertà personale
Mi chiede di mandargli foto di come sono vestita.,"Cyber Stalking, monitoraggio e controllo",Attacchi,Questa frase è un esempio di monitoraggio cyber limitando la libertà personale
"Se esci, voglio che tu mi risponda subito al telefono.","Cyber Stalking, monitoraggio e controllo",Minaccia,Questa frase è un esempio di controllo cyber poiché intima una costante disponibilità
Gli riduce il cibo per evitare che diventi grasso o aumenti di peso.,"Stalking, monitoraggio e controllo, Violenza fisica",Attacchi,Questa frase allude ad un comportamento di controllo e di violenza fisica in quanto impone un comportamento dannoso per la salute
Non vado d'accordo con i miei amici perché non voglio perdere la mia ragazza.,Violenza/Aggressività psicologica,Nessuna,Questa frase rappresenta una forma di violenza psicologica in quanto suggerisce la scelta la scelta di allontanamento dai propri amici per soddisfare il partner
